epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,501.431,1.41303,2.35356,1.34446,0.79496,0.21826,0.20541,0.12414,1.44366,2.21988,1.25044,0.000368864,0.000368864,0.000368864
2,1003.23,1.2883,1.54957,1.25087,0.66851,0.21976,0.20657,0.13264,1.47826,1.89171,1.31034,0.000731879,0.000731879,0.000731879
3,1505.94,1.2969,1.35542,1.23581,0.66481,0.30891,0.25081,0.15282,1.40972,1.73659,1.28278,0.00108756,0.00108756,0.00108756
4,2001.39,1.26174,1.21452,1.22704,0.70866,0.22864,0.26104,0.16634,1.41248,1.55833,1.2629,0.001078,0.001078,0.001078
5,2497.77,1.23441,1.12412,1.20038,0.77921,0.29753,0.34775,0.21159,1.36361,1.36013,1.22913,0.001067,0.001067,0.001067
6,2987.07,1.18831,1.06543,1.17456,0.67765,0.40425,0.3986,0.2687,1.31359,1.24943,1.24429,0.00105601,0.00105601,0.00105601
7,3467.07,1.15541,0.98438,1.15712,0.40872,0.54395,0.44869,0.28284,1.33221,1.20533,1.20415,0.00104501,0.00104501,0.00104501
8,3950.23,1.15314,0.93636,1.15774,0.58348,0.48287,0.5244,0.32664,1.297,1.2974,1.21314,0.00103401,0.00103401,0.00103401
9,4438.51,1.14003,0.91864,1.1527,0.57944,0.40304,0.43715,0.25672,1.36034,1.1874,1.23165,0.00102301,0.00102301,0.00102301
10,4926.97,1.1098,0.87016,1.1345,0.33321,0.49648,0.40355,0.27218,1.26493,1.11551,1.19301,0.00101201,0.00101201,0.00101201
11,5413.6,1.10732,0.86277,1.13088,0.67794,0.4349,0.48434,0.31416,1.2892,1.11671,1.18555,0.00100101,0.00100101,0.00100101
12,5962.85,1.09327,0.82779,1.11646,0.50067,0.56962,0.59976,0.36983,1.28585,1.04437,1.17795,0.000990012,0.000990012,0.000990012
13,6729.52,1.07719,0.81938,1.12013,0.49852,0.56289,0.56959,0.36671,1.26869,1.0538,1.17731,0.000979013,0.000979013,0.000979013
14,7872.39,1.0867,0.79916,1.11968,0.74059,0.46576,0.58738,0.38355,1.2285,1.08613,1.15146,0.000968014,0.000968014,0.000968014
15,9149.77,1.06675,0.79955,1.11781,0.46616,0.66323,0.55063,0.36482,1.26011,1.09137,1.17384,0.000957015,0.000957015,0.000957015
16,9669.04,1.05591,0.78001,1.10314,0.56713,0.6014,0.58864,0.38351,1.23818,1.03241,1.17155,0.000946016,0.000946016,0.000946016
17,10153.1,1.04508,0.77238,1.10159,0.52635,0.64429,0.55668,0.3731,1.25312,1.0111,1.18385,0.000935018,0.000935018,0.000935018
18,10624.2,1.04546,0.75058,1.1,0.61035,0.53779,0.58259,0.36513,1.27866,1.02327,1.18295,0.000924019,0.000924019,0.000924019
